#|n ˈʊ m ɜ
#ad|n ˈʊ m ɜ  ˈɑː t
#anno#|n ˈʊ m ɜ  ˈa n oː n ˈʊ m ɜ
#anno# 13|n ˈʊ m ɜ  ˈa n oː n ˈʊ m ɜ d ɾ ˈaɪ ts eː n
1904|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t f ˈiː ɾ
1911|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t  ˈɛ l f
1912|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t ts v ˈœ l f
1913|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t d ɾ ˈaɪ ts eː n
1938|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t  ˈa x t  ʊ n t d ɾ ˈaɪ s ɪ ç
1939|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t n ˈɔø n  ʊ n t d ɾ ˈaɪ s ɪ ç
1945|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t f ˈy n f  ʊ n t f ˈɪ ɾ ts ɪ ç
1948|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t  ˈa x t  ʊ n t f ˈɪ ɾ ts ɪ ç
1949|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t n ˈɔø n  ʊ n t f ˈɪ ɾ ts ɪ ç
1954|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t f ˈiː ɾ  ʊ n t f ˈy n f ts ɪ ç
196|ˈaɪ n h ˈʊ n d ɜ t z ˈɛ k s  ʊ n t n ˈɔø n ts ɪ ç
1960|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t z ˈɛ ç ts ɪ ç
1963|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t d ɾ ˈaɪ  ʊ n t z ˈɛ ç ts ɪ ç
1965|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t f ˈy n f  ʊ n t z ˈɛ ç ts ɪ ç
1966|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t z ˈɛ k s  ʊ n t z ˈɛ ç ts ɪ ç
1967|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t z ˈiː b ə n  ʊ n t z ˈɛ ç ts ɪ ç
1968|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t  ˈa x t  ʊ n t z ˈɛ ç ts ɪ ç
1969|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t n ˈɔø n  ʊ n t z ˈɛ ç ts ɪ ç
1973|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t d ɾ ˈaɪ  ʊ n t z ˈiː p ts ɪ ç
1975|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t f ˈy n f  ʊ n t z ˈiː p ts ɪ ç
1977|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t z ˈiː b ə n  ʊ n t z ˈiː p ts ɪ ç
1979|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t n ˈɔø n  ʊ n t z ˈiː p ts ɪ ç
1989|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t n ˈɔø n  ʊ n t  ˈa x ts ɪ ç
199|ˈaɪ n h ˈʊ n d ɜ t n ˈɔø n  ʊ n t n ˈɔø n ts ɪ ç
1990|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t n ˈɔø n ts ɪ ç
1991|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t  ˈaɪ n  ʊ n t n ˈɔø n ts ɪ ç
1993|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t d ɾ ˈaɪ  ʊ n t n ˈɔø n ts ɪ ç
1994|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t f ˈiː ɾ  ʊ n t n ˈɔø n ts ɪ ç
1995|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t f ˈy n f  ʊ n t n ˈɔø n ts ɪ ç
1998|ˈaɪ n t ˈaʊ z ə n t n ˈɔø n h ˈʊ n d ɜ t  ˈa x t  ʊ n t n ˈɔø n ts ɪ ç
2|ts v ˈaɪ
20|ts v ˈa n ts ɪ ç
200|ts v ˈaɪ h ˈʊ n d ɜ t
2000|ts v ˈaɪ t ˈaʊ z ə n t
20000|ts v ˈa n ts ɪ ç t ˈaʊ z ə n t
200000|ts v ˈaɪ h ˈʊ n d ɜ t t ˈaʊ z ə n t
2001|ts v ˈaɪ t ˈaʊ z ə n t  ˈaɪ n s
2002|ts v ˈaɪ t ˈaʊ z ə n t ts v ˈaɪ
